DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
0.958,0.727331746,1.29e-06,-1.29e-06,132.37007,0.00156,-0.00156,0.153,0.301,-0.153,0.8323,0.0627,-0.0627,357.0,23.9,-23.9,0.67,0.11,-0.1,849.0,122.92,56.11,-44.24,20.4,1.0,3460.0,69.0,-83.0,4.92,0.058,-0.071,0.356,0.057,-0.057,283.40195,41.516331,15.527,1,1
0.0,0.814280672,6.43e-06,-6.43e-06,131.64736,0.007,-0.007,0.701,0.027,-0.521,2.326,0.245,-0.245,135.0,13.7,-13.7,1.91,0.61,-0.49,2563.0,10224.99,9563.81,-5423.08,12.3,1.0,6366.0,177.0,-243.0,4.167,0.19,-0.19,1.543,0.489,-0.4,292.49802,49.329006,11.751,0,0
0.0,2.464160779,6.77e-06,-6.77e-06,131.92201,0.00236,-0.00236,1.169,5.877,-0.093,2.427,0.114,-0.114,117.0,5.2,-5.2,36.93,23.0,-23.0,1709.0,2018.62,3961.59,-1760.06,27.3,1.0,5238.0,158.0,-142.0,3.84,0.756,-0.378,1.883,1.171,-1.171,292.6597,42.272831,13.145,0,0
0.0,41.16676097,1.59e-05,-1.59e-05,158.917777,0.000295,-0.000295,1.093,0.305,-0.12,2.2133,0.0167,-0.0167,5390.0,36.2,-36.2,17.82,1.93,-2.15,446.0,9.35,3.55,-2.86,185.2,1.0,5193.0,154.0,-138.0,4.503,0.093,-0.076,0.805,0.087,-0.097,298.21094,48.559158,13.418,0,0
0.0,0.93371313,2.76e-05,-2.76e-05,131.5534,0.0264,-0.0264,0.133,0.338,-0.133,2.971,0.538,-0.538,66.0,8.5,-8.5,0.69,0.16,-0.05,1642.0,1724.34,1214.47,-425.02,8.9,1.0,5436.0,164.0,-164.0,4.548,0.03,-0.17,0.869,0.2,-0.067,292.11972,47.485619,15.788,0,0
1.0,8.75059775,3.36e-05,-3.36e-05,358.24233,0.00278,-0.00278,0.33,0.117,-0.33,2.8288,0.0852,-0.0852,882.0,35.4,-35.4,2.27,0.23,-0.13,682.0,51.0,20.05,-11.97,28.3,1.0,4942.0,177.0,-177.0,4.599,0.02,-0.075,0.779,0.078,-0.046,295.76083,45.45739,15.92,1,1
1.0,20.50588921,3.21e-05,-3.21e-05,181.43428,0.00122,-0.00122,0.26,0.151,-0.26,4.0595,0.0481,-0.0481,2110.0,31.0,-31.0,3.41,0.28,-0.31,518.0,17.06,5.47,-4.61,78.5,1.0,4905.0,148.0,-148.0,4.544,0.072,-0.044,0.761,0.063,-0.07,289.31543,39.153278,15.398,1,2
1.0,5.32667299,1.96e-05,-1.96e-05,357.12617,0.00264,-0.00264,0.043,0.403,-0.043,3.4045,0.0739,-0.0739,611.0,19.3,-19.3,2.26,0.74,-0.23,1007.0,242.97,241.36,-73.2,34.1,1.0,5831.0,184.0,-205.0,4.517,0.038,-0.212,0.921,0.301,-0.094,290.21518,41.77597,15.808,1,2
0.0,8.48039,0.000127,-0.000127,135.853,0.0125,-0.0125,0.008,0.445,-0.008,6.134,0.378,-0.378,134.0,12.8,-12.8,1.23,0.42,-0.13,969.0,208.42,206.06,-67.76,12.0,1.0,6193.0,173.0,-238.0,4.434,0.056,-0.224,1.067,0.357,-0.119,298.71469,46.650639,14.863,0,0
0.0,28.615014,0.00187,-0.00187,147.7816,0.0484,-0.0484,0.505,0.477,-0.301,24.74,2.1,-2.1,70.5,6.2,-6.2,1.69,0.28,-0.46,783.0,88.66,38.71,-44.8,13.5,1.0,5562.0,88.0,-77.0,3.925,0.208,-0.096,1.987,0.321,-0.55,297.36008,40.031841,14.091,0,0
0.0,372.76888,0.0119,-0.0119,377.6144,0.0272,-0.0272,0.909,0.028,-0.62,23.27,1.2,-1.2,1160.0,60.3,-60.3,3.66,1.01,-0.37,242.0,0.81,0.67,-0.23,22.8,1.0,5800.0,155.0,-190.0,4.514,0.05,-0.2,0.894,0.249,-0.089,298.55057,41.040771,15.422,0,0
0.0,7.94671044,4.17e-06,-4.17e-06,140.708207,0.000428,-0.000428,1.255,6.19,-0.175,2.8419,0.0238,-0.0238,6080.0,44.9,-44.9,27.43,3.13,-1.91,673.0,48.5,19.25,-10.88,165.3,1.0,4859.0,146.0,-131.0,4.626,0.027,-0.063,0.702,0.08,-0.049,287.80457,46.23893,15.791,0,0
1.0,14.08826442,5.24e-05,-5.24e-05,137.34334,0.00322,-0.00322,0.133,0.319,-0.133,4.1847,0.096,-0.096,889.0,29.8,-29.8,2.66,0.77,-0.26,724.0,64.97,55.31,-18.63,34.2,1.0,5853.0,157.0,-192.0,4.529,0.048,-0.204,0.895,0.26,-0.087,297.45215,41.558128,15.624,1,2
0.0,0.566799833,2.06e-06,-2.06e-06,131.64094,0.00403,-0.00403,0.851,0.052,-0.588,5.543,0.149,-0.149,198.0,16.7,-16.7,1.27,0.27,-0.11,1900.0,3084.6,2042.9,-846.32,54.0,1.0,5488.0,182.0,-182.0,4.584,0.036,-0.135,0.789,0.164,-0.07,291.28311,42.741859,15.524,0,0
0.006,125.6291479,0.000241,-0.000241,253.35079,0.00143,-0.00143,0.471,0.084,-0.261,9.108,0.103,-0.103,7840.0,61.1,-61.1,10.02,1.47,-1.33,388.0,5.35,2.03,-1.56,150.4,1.0,5819.0,69.0,-87.0,4.334,0.132,-0.108,1.111,0.163,-0.148,299.12244,41.86676,12.391,1,2
0.993,7.71790675,4.49e-05,-4.49e-05,139.15725,0.00467,-0.00467,0.112,0.347,-0.112,1.84,0.148,-0.148,307.0,29.2,-29.2,0.9,0.06,-0.07,502.0,15.01,3.53,-3.2,12.6,1.0,3975.0,71.0,-87.0,4.753,0.031,-0.038,0.509,0.037,-0.037,281.05011,47.188148,15.233,1,1
1.0,28.51117639,2.65e-05,-2.65e-05,187.363955,0.000731,-0.000731,0.77,0.006,-0.557,4.5941,0.0706,-0.0706,1840.0,14.7,-14.7,3.27,0.19,-0.13,423.0,7.55,1.57,-1.13,145.5,1.0,4687.0,93.0,-93.0,4.627,0.015,-0.039,0.69,0.039,-0.028,293.68573,48.825142,13.933,1,2
